sample,ch4(mg/m^2/day),co2(mg/m^2/day),ph,conductivity(ms/cm),moisture(g),organic_matter(g),inorganic_matter(g)
I15,1.03,6127.3,5.3,0.05,0.0778825107674927,0.038124188836864,0.00828104242359262
I17,-0.2,5334.92,4.4,0.12,0.0824734254455003,0.0404998411521763,0.00479932224928514
I19,-0.27,5202.22,4.9,0.09,0.0935713657549909,0.0384331458991567,0.00859272507919908
I21,-2.38,3936.64,4.9,0.04,0.0679010484203332,0.0340170534610186,0.00532740919679059
I23,-4.13,1146.17,4.6,0.06,0.077893286761717,0.0388588875418896,0.00542473335537511
I25,3.73,8145.99,4.8,0.05,0.0753679935074675,0.0436488127922261,0.00558661541789379
I28,7.53,12634.21,4.7,0.09,0.065065381147354,0.0400786562392111,0.00528377790119931
I29,1.74,7597.12,5,0.09,0.0630214976615647,0.0335114133074308,0.00808627248008569
I31,3.05,8182.49,4.8,0.06,0.0719031302409954,0.0407631410729212,0.00556047270164396
I33,-0.73,7234.62,4.8,0.08,0.0581946949956571,0.0355419977298524,0.00454029511918275
I35,2.51,6625.66,4.6,0.06,0.0571442615238235,0.0366081170148987,0.00338860609129877
I39,3.87,11454.86,4.9,0.06,0.0683473411023916,0.037803683222903,0.00591590693967013
I41,4.85,7678.55,5.3,0.07,0.0651925965241155,0.0375412740597567,0.00870983329306597
I43,-0.81,9264.11,4.9,0.06,0.0603252383873306,0.034025791950864,0.00534828776903697
I46,-0.33,4046.29,5,0.05,0.0662975679150822,0.0338745298256281,0.00898046784867974
I47,-0.76,3519.06,4.8,0.05,0.0787932221860645,0.0370587921183317,0.00563973859216037
I49,0.63,5047.97,5,0.05,0.069791555072619,0.0391118898664462,0.00560621578378017
I51,-0.03,5368.73,4.9,0.03,0.0980823163798984,0.036221531221111,0.00844608790654677
I53,-0.02,5827.02,5.1,0.05,0.0638801864445633,0.0436290915027345,0.0057954452697739
I55,0.05,6686.39,5,0.04,0.0636763214245464,0.065479056331247,0.00621890547263682
I57,-1.85,5697.07,5,0.03,0.0758336362862866,0.0367554130851448,0.00901413637542995
I61,-2.11,4026.13,5.1,0.04,0.0717512422827887,0.0403520155730392,0.00652932111282342
I59,-1.13,6489.23,4.8,0.04,0.0483066094847974,0.0430696914930721,0.00573099971463904
I63,5.85,5557.66,4.7,0.05,0.0618926445355921,0.0466415368545347,0.00374057115961843
II73,6.8,12215.13,4.5,0.06,0.0749281534572903,0.0490324512482689,0.00531496799790396
II75,2.75,4065.81,4.8,0.08,0.090721491898502,0.0513574850802723,0.00609397327057241
II77,8.88,10765.5,4.5,0.07,0.0755675679802712,0.0514255273460082,0.00605807826359879
III67,-1.63,1053.07,4.8,0.08,0.0794004016770203,0.042510836932102,0.0094617487781791
III71,-0.07,8191.56,4.5,0.05,0.0599744706936755,0.047023133912541,0.00544812926924908
III69,-2.32,7479.46,4,0.1,0.071912006992412,0.0473555248112279,0.00583401396829633
IV79,1.72,7979.56,5.2,0.09,0.0910141685309471,0.0454899708765741,0.0114852947208663
IV155,4.27,5129.7,5.1,0.08,0.0855634054092629,0.0428725160802739,0.00872401074482689
IV81,4.38,8117.56,5.1,0.05,0.0934784187927981,0.0438341951429367,0.0107972230891868
